date,time,borough,zip_code,latitude,longitude,on_street_name,cross_street_name,off_street_name,number_of_persons_injured,number_of_persons_killed,number_of_pedestrians_injured,number_of_pedestrians_killed,number_of_cyclist_injured,number_of_cyclist_killed,number_of_motorist_injured,number_of_motorist_killed,contributing_factor_vehicle_1,contributing_factor_vehicle_2,contributing_factor_vehicle_3,contributing_factor_vehicle_4,contributing_factor_vehicle_5,unique_key,vehicle_type_code_1,vehicle_type_code_2,vehicle_type_code_3,vehicle_type_code_4,vehicle_type_code_5
2015-06-28 00:00:00+00,17:50:00,BROOKLYN,11209,40.6328366,-74.0272301,73 STREET,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3249719,PASSENGER VEHICLE,UNKNOWN,,,
2015-06-28 00:00:00+00,16:35:00,,,,,RICHMOND AVENUE,PLATINUM AVENUE,,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3249329,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-28 00:00:00+00,15:05:00,QUEENS,11354,40.7661037,-73.8117873,153 STREET,35 AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3249232,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-28 00:00:00+00,14:00:00,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3248205,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
2015-06-28 00:00:00+00,00:25:00,,,,,,,,0,0,0,0,0,0,0,0,Driver Inexperience,Fatigued/Drowsy,,,,3248031,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-27 00:00:00+00,13:00:00,,,,,QUEENS BOULEVARD,63 DRIVE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3248563,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
2015-06-26 00:00:00+00,20:50:00,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3249350,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-26 00:00:00+00,19:38:00,BROOKLYN,11210,40.6320215,-73.9487613,CAMPUS ROAD,HILLEL PLACE,,1,0,1,0,0,0,0,0,Unspecified,Unspecified,,,,3248327,PASSENGER VEHICLE,BICYCLE,,,
2015-06-26 00:00:00+00,14:00:00,,,,,SPRINGFIELD BOULEVARD,HORACE HARDING EXPRESSWAY,,1,0,0,0,1,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3249258,PASSENGER VEHICLE,BICYCLE,,,
2015-06-26 00:00:00+00,18:30:00,,,,,111 AVENUE,VAN WYCK EXPRESSWAY,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3247984,VAN,SPORT UTILITY / STATION WAGON,,,
2015-06-26 00:00:00+00,15:30:00,,,40.7432196,-73.8340225,,,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3247950,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
2015-06-26 00:00:00+00,15:06:00,,,,,124 STREET,JAMAICA AVENUE,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3247855,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-25 00:00:00+00,18:30:00,,,,,RIVERA CORNER,5 AVENUE,,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,,,,3247358,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-25 00:00:00+00,01:12:00,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3246363,LARGE COM VEH(6 OR MORE TIRES),LARGE COM VEH(6 OR MORE TIRES),,,
2015-06-25 00:00:00+00,15:32:00,MANHATTAN,10009,40.7313511,-73.9825546,EAST 14 STREET,1 AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3246190,TAXI,PASSENGER VEHICLE,,,
2015-06-25 00:00:00+00,17:15:00,,,,,255 STREET,UNION TURNPIKE,,1,0,0,0,0,0,1,0,Other Vehicular,Driver Inattention/Distraction,,,,3246676,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-25 00:00:00+00,01:00:00,,,,,,,,0,0,0,0,0,0,0,0,Turning Improperly,Fatigued/Drowsy,,,,3247208,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-22 00:00:00+00,19:30:00,,,,,EAST 42 STREET,6 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3244671,BUS,VAN,,,
2015-06-25 00:00:00+00,09:01:00,,,,,165 STREET,SOUTH ROAD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3246641,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-24 00:00:00+00,13:20:00,,,,,YELLOWSTONE BOULEVARD,QUEENS BOULEVARD,,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,,,,3246058,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-24 00:00:00+00,15:05:00,,,,,JUNCTION BOULEVARD,33 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3246820,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
2015-06-24 00:00:00+00,15:25:00,BROOKLYN,11203,40.657608,-73.9423154,KINGSTON AVENUE,WINTHROP STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3246485,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
