time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2016-10-18T15:24:40.370Z,37.7373333,-110.528,8.11,2.88,ml,11,188,0.2623,0.07,uu,uu60166272,2016-10-18T18:30:55.979Z,"72km SSE of Hanksville, Utah",earthquake,0.57,2.74,0.319,11,reviewed,uu,uu
2016-10-18T13:08:25.580Z,16.6687,-99.7893,22.38,4.8,mb,,149,1.468,0.61,us,us20007f1u,2016-10-18T16:26:30.943Z,"24km SSE of Acapulco de Juarez, Mexico",earthquake,9.4,6.4,0.037,224,reviewed,us,us
2016-10-18T10:29:56.670Z,-5.4681,147.1633,177.08,4.6,mb,,61,3.408,0.55,us,us20007f1g,2016-10-18T12:18:16.040Z,"140km N of Lae, Papua New Guinea",earthquake,8.7,8.3,0.089,38,reviewed,us,us
2016-10-18T08:53:30.000Z,60.9693,-147.5045,16,3.5,ml,,,,0.58,ak,ak14234876,2016-10-18T09:48:14.897Z,"64km WSW of Valdez, Alaska",earthquake,0.2,0.3,,,automatic,ak,ak
2016-10-18T07:51:20.800Z,5.7252,61.5091,10,5.1,mb,,62,11.957,1.15,us,us20007f0y,2016-10-18T18:57:28.000Z,Carlsberg Ridge,earthquake,10.6,1.8,0.072,63,reviewed,us,us
2016-10-18T04:26:08.870Z,-60.3487,-47.2696,10,5.3,mb,,94,5.809,0.95,us,us20007f0b,2016-10-18T04:44:08.040Z,Scotia Sea,earthquake,9.2,1.9,0.067,75,reviewed,us,us
2016-10-18T04:15:03.610Z,35.672,-97.4053,6.19,2.6,mb_lg,,34,0.091,0.37,us,us20007f09,2016-10-18T21:28:50.361Z,"6km ENE of Edmond, Oklahoma",earthquake,1,1.7,0.083,38,reviewed,us,us
2016-10-18T04:04:41.310Z,35.67,-97.4076,4.94,3,mb_lg,,20,0.089,0.42,us,us20007f08,2016-10-19T10:05:05.663Z,"6km ENE of Edmond, Oklahoma",earthquake,1.1,2.4,0.059,74,reviewed,us,us
2016-10-18T00:59:44.800Z,19.6145,-67.5149,30,3.4,Md,11,226.8,1.20194585,0.28,pr,pr16292000,2016-10-18T05:27:53.934Z,"131km NNW of San Antonio, Puerto Rico",earthquake,1.4,22.4,0,9,reviewed,pr,pr
2016-10-18T00:36:57.870Z,-6.0563,130.1799,115.01,4.3,mb,,89,2.212,1.26,us,us20007ezf,2016-10-18T01:41:25.040Z,"244km NNW of Saumlaki, Indonesia",earthquake,11.2,11.2,0.188,8,reviewed,us,us
2016-10-17T21:45:07.650Z,9.9801,126.1558,64.99,5,mb,,82,2.947,1.08,us,us20007ey2,2016-10-17T23:00:28.150Z,"8km ENE of San Isidro, Philippines",earthquake,8.9,6.4,0.046,152,reviewed,us,us
2016-10-17T21:26:50.300Z,19.465,-67.2245,10,3.4,Md,18,244.8,0.99712997,0.5,pr,pr16291005,2016-10-17T22:20:56.056Z,"108km N of Isabela, Puerto Rico",earthquake,2.9,4.8,0,14,reviewed,pr,pr
2016-10-17T21:02:21.570Z,10.4317,124.2362,36.82,4.2,mb,,195,7.717,0.7,us,us20007exs,2016-10-18T10:43:43.425Z,"18km SSW of Himensulan, Philippines",earthquake,15.6,9,0.216,6,reviewed,us,us
2016-10-17T18:52:22.950Z,47.9629,152.4612,131.87,4.6,mb,,129,6.137,0.68,us,us20007ew5,2016-10-17T23:24:10.040Z,"283km ESE of Vostok, Russia",earthquake,10.6,7.5,0.048,129,reviewed,us,us
2016-10-17T18:37:12.950Z,-5.429,153.3949,10,4.9,mb,,100,1.737,1.02,us,us20007evr,2016-10-17T23:11:17.040Z,"113km SSE of Taron, Papua New Guinea",earthquake,7.8,1.9,0.081,47,reviewed,us,us
2016-10-17T18:22:33.270Z,5.3038,61.4043,10,4.6,mb,,95,11.543,1.36,us,us20007evn,2016-10-17T23:04:39.040Z,Carlsberg Ridge,earthquake,11.7,1.9,0.069,63,reviewed,us,us
2016-10-17T18:16:50.270Z,5.3639,61.3792,10,4.6,mb,,95,11.582,1.21,us,us20007evz,2016-10-17T23:02:15.040Z,Carlsberg Ridge,earthquake,6.4,1.9,0.067,67,reviewed,us,us
2016-10-17T18:04:48.780Z,-4.8211,68.7706,10,4.8,mb,,145,4.475,0.95,us,us20007evt,2016-10-17T22:53:32.040Z,Chagos Archipelago region,earthquake,10,1.9,0.09,38,reviewed,us,us
2016-10-17T17:16:01.630Z,-14.2181,-75.4601,51.72,4.5,mb,,157,2.594,0.9,us,us20007euy,2016-10-18T01:45:45.723Z,"27km E of Santiago, Peru",earthquake,7.7,13.7,0.136,16,reviewed,us,us
2016-10-17T17:08:41.140Z,19.4263333,-155.5968333,2.632,2.84,ml,15,79,0.02597,0.29,hv,hv61448366,2016-10-17T18:06:32.230Z,"27km NNW of Pahala, Hawaii",earthquake,0.57,0.81,0.183,37,reviewed,hv,hv
2016-10-17T13:42:49.800Z,18.3096,-65.4978,122,3.8,Md,23,162,0.20391757,0.31,pr,pr16291004,2016-10-18T14:19:14.040Z,"14km E of Luis M. Cintron, Puerto Rico",earthquake,2.9,1.1,0,17,reviewed,pr,pr
2016-10-17T12:15:06.610Z,19.381834,-155.2426605,2.97,2.67,md,20,113,0.008448,0.17,hv,hv61448046,2016-10-17T12:18:11.750Z,"5km S of Volcano, Hawaii",earthquake,0.36,0.36,0.26,14,automatic,hv,hv
2016-10-17T10:55:23.160Z,53.7576,-164.8194,50.52,4.5,mb,,153,0.678,1.18,us,us20007es3,2016-10-17T19:06:34.982Z,"75km ESE of Akutan, Alaska",earthquake,8.9,9.8,0.068,64,reviewed,us,us
2016-10-17T10:09:37.000Z,62.1592,-149.8037,1.1,2.5,ml,,,,0.71,ak,ak14226616,2016-10-17T11:15:05.471Z,"2km E of Y, Alaska",earthquake,0.2,0.2,,,automatic,ak,ak
2016-10-17T08:50:49.000Z,59.8504,-152.9394,96.5,3.6,ml,,,,0.46,ak,ak14226047,2016-10-17T19:06:37.954Z,"62km W of Anchor Point, Alaska",earthquake,0.3,0.3,,,reviewed,ak,ak
2016-10-17T08:24:39.640Z,32.9388,95.0892,35,4.2,mb,,122,4.679,0.97,us,us20007erg,2016-10-17T09:29:39.040Z,"151km NE of Dartang, China",earthquake,7.9,2,0.121,19,reviewed,us,us
2016-10-17T07:36:33.000Z,63.8593,-149.1521,115.1,2.8,ml,,,,0.58,ak,ak14225488,2016-10-17T08:19:57.223Z,"9km W of Healy, Alaska",earthquake,0.3,0.5,,,automatic,ak,ak
2016-10-17T07:33:39.520Z,32.8768,95.0681,35,4.6,mb,,94,8.642,0.87,us,us20007eqy,2016-10-17T07:58:38.040Z,"145km NE of Dartang, China",earthquake,5.6,2,0.081,45,reviewed,us,us
2016-10-17T07:21:11.300Z,18.9528,-67.8591,41,3,Md,6,248.4,0.65936342,0.4,pr,pr16291002,2016-10-17T12:10:25.107Z,"70km NE of Punta Cana, Dominican Republic",earthquake,4.8,14.3,0,5,reviewed,pr,pr
2016-10-17T07:14:49.190Z,32.9064,94.8796,23.32,5.9,mww,,12,4.528,0.91,us,us20007eqh,2016-10-17T17:58:04.000Z,"135km NE of Dartang, China",earthquake,7.2,3.4,,,reviewed,us,us
2016-10-17T07:11:55.350Z,-24.2348,-67.3648,207.36,4.6,mb,,56,1.479,0.55,us,us20007eqg,2016-10-17T14:46:20.040Z,"106km W of San Antonio de los Cobres, Argentina",earthquake,9.1,9.3,0.387,2,reviewed,us,us
2016-10-17T07:01:18.900Z,35.7271,-98.0266,5,2.6,ml,,40,,0.3,us,us20007eqe,2016-10-18T04:23:15.798Z,"4km W of Okarche, Oklahoma",earthquake,1,3,,,reviewed,tul,tul
2016-10-17T06:14:58.370Z,-6.0526,148.8617,35,6.9,mwp,,16,3.733,1.29,us,us20007ept,2016-10-18T06:39:26.167Z,"78km WNW of Kandrian, Papua New Guinea",earthquake,6.6,1.8,,,reviewed,us,us
2016-10-17T05:51:30.800Z,19.125,-64.5395,51,3.4,Md,9,302.4,0.81836522,0.27,pr,pr16291001,2016-10-17T13:54:07.820Z,"78km N of Road Town, British Virgin Islands",earthquake,8.6,17,0,5,reviewed,pr,pr
2016-10-17T05:40:03.110Z,37.1522,71.8287,149.73,4.6,mb,,82,0.4,1.05,us,us20007epm,2016-10-17T14:19:34.040Z,"11km S of Roshtqal'a, Tajikistan",earthquake,7.5,3.5,0.129,18,reviewed,us,us
2016-10-17T05:28:50.710Z,-24.063,-67.1545,227.92,4.2,mb,,120,1.451,0.52,us,us20007epl,2016-10-17T14:52:45.040Z,"86km WNW of San Antonio de los Cobres, Argentina",earthquake,11.1,12.5,0.2,7,reviewed,us,us
2016-10-17T04:38:34.350Z,39.4158333,-120.1643333,5.67,2.79,md,22,61,0.1369,0.07,nc,nc72713711,2016-10-18T22:58:02.040Z,"9km N of Truckee, California",earthquake,0.21,0.86,0.214,32,reviewed,nc,nc
2016-10-17T02:42:14.440Z,35.238,-118.5816667,7.19,2.83,ml,49,32,0.08796,0.16,ci,ci37718912,2016-10-17T15:54:04.100Z,"17km NW of Tehachapi, CA",earthquake,0.14,0.54,0.177,98,reviewed,ci,ci
